Year	Day	Hour	NEE	qcNEE	LE	H	Rg	Tair	Tsoil	rH	VPD	Ustar
--	--	--	umolm-2s-1	--	Wm-2	Wm-2	Wm-2	degC	degC	%	hPa	ms-1
1998	1	0.5	-1.21	1	1.49	-11.77	0	7.4	4.19	55.27	4.6	0.72
1998	1	1	1.72	1	3.8	-13.5	0	7.5	4.2	55.95	4.6	0.52
1998	1	1.5	-9999	2	1.52	-18.3	0	7.1	4.22	57.75	4.3	0.22
1998	1	2	-9999	2	3.94	-17.47	0	6.6	4.23	60.2	3.9	0.2
1998	1	2.5	2.55	1	8.3	-21.42	0	6.6	4.22	59.94	3.9	0.33
1998	1	3	-9999	2	1.33	-20.55	0	6.5	4.21	59.25	4	0.15
1998	1	3.5	-9999	2	0.73	-8.73	0	6.3	4.2	59.86	3.9	0.15
1998	1	4	-9999	2	0.63	-15.15	0	6.1	4.18	61.08	3.7	0.14
1998	1	4.5	4.11	1	1.05	-25.04	0	5.9	4.15	63.54	3.4	0.39
1998	1	5	-9999	2	-1.53	-32.04	0	6.2	4.12	64.14	3.4	0.14
1998	1	5.5	-9999	2	-3.72	-17.97	0	6.1	4.1	66.35	3.2	0.16
1998	1	6	-9999	2	-6.02	-11.5	0	6.1	4.07	67.77	3	0.17
1998	1	6.5	-9999	2	10.49	-20.06	0	6.2	4.07	70.51	2.8	0.27
1998	1	7	-9999	2	-13.03	-20.31	0	6.9	4.09	72.83	2.7	0.27
1998	1	7.5	-9999	2	-3.65	-15.98	0	6.9	4.12	75.05	2.5	0.23
1998	1	8	-9999	2	-3.32	-18.9	0	6.7	4.16	76.59	2.3	0.23
1998	1	8.5	0.84	1	-5.71	-19.63	5.78	6.7	4.2	77.19	2.2	0.25
1998	1	9	-9999	2	-9999	-9999	40.82	6.9	4.21	76.51	2.4	0.62
1998	1	9.5	-9999	2	0.27	-17.07	87.66	7.4	4.23	74.78	2.6	0.3
1998	1	10	-2.74	1	1.43	-3.39	135.25	7.9	4.25	73.65	2.8	0.34
1998	1	10.5	-3.44	1	9.27	23.37	185.45	8.6	4.29	71.33	3.2	0.43
1998	1	11	-5.42	1	6.21	33.7	203.93	9.5	4.34	69.01	3.7	0.56
1998	1	11.5	-4.49	1	13.9	48.63	125.1	9.8	4.44	69.21	3.7	0.48
1998	1	12	-3.43	1	34.43	51.78	86.96	10	4.57	68.2	3.9	0.54
1998	1	12.5	-3.21	1	14.24	16.86	122.27	10.1	4.71	67.63	4	0.43
1998	1	13	-3.84	1	15.44	67.08	146.17	10.6	4.82	64.67	4.5	0.47
1998	1	13.5	-9.1	1	-18.85	25.08	162.69	10.7	4.92	64.23	4.6	0.69
1998	1	14	-7.09	1	31.74	69.46	214.61	10.7	5.03	63.47	4.7	0.61
1998	1	14.5	-2.01	1	24.05	58.86	174.41	10.8	5.11	63.13	4.8	0.63
1998	1	15	-1.14	1	19.03	20.5	119.22	10.5	5.17	62.82	4.7	0.43
1998	1	15.5	1.326	1	4.07	-3.83	0	10.3	5.22	63.48	4.6	0.21
1998	1	16	1.329	1	0.54	-12.33	0	9.8	5.24	65.92	4.1	0.12
1998	1	16.5	1.331	1	1.13	-3.19	0	9.4	5.25	68.13	3.8	0.15
1998	1	17	-9999	2	-0.08	-18.56	0	8.5	5.23	71.96	3.1	0.05
1998	1	17.5	-9999	2	2.44	-17.05	0	7.9	5.19	70.83	3.1	0.17
1998	1	18	-9999	2	0.62	-17.37	0	7.5	5.15	71.12	3	0.14
1998	1	18.5	-9999	2	2.05	-13.99	0	7.4	5.11	71.5	2.9	0.2
1998	1	19	-9999	2	0.59	-9.11	0	7.3	5.08	71.56	2.9	0.16
1998	1	19.5	-9999	2	5.48	-17.17	0	7.4	5.05	71.08	3	0.29
1998	1	20	-9999	2	-0.75	-27.69	0	7.3	5.03	72.11	2.9	0.22
1998	1	20.5	-9999	2	-0.85	-17.54	0	7.8	5.01	71.2	3	0.22
1998	1	21	0.41	1	3.97	-28.19	0	7.7	5	72.38	2.9	0.45
1998	1	21.5	1.55	1	34.78	-3.49	0	6.3	5	74.22	2.5	0.47
1998	1	22	4.07	1	-3.08	-2.92	0	5.6	4.98	73.33	2.4	0.53
1998	1	22.5	5.35	1	1.86	-19.12	0	5.2	4.92	74.13	2.3	0.37
1998	1	23	1.59	1	11.72	-23.83	0	5.1	4.87	73.63	2.3	0.63
1998	1	23.5	7.49	1	-4.43	-20.65	0	5.2	4.8	73.25	2.4	0.64
1998	2	0	-9999	2	13.78	-27.96	0	5.3	4.74	70.75	2.6	0.27
1998	2	0.5	-3.39	1	9.45	27.63	0	5.8	4.7	68.94	2.9	0.39
1998	2	1	-0.6	1	11.5	-15.52	0	6.3	4.68	62.91	3.6	0.56
1998	2	1.5	0.94	1	21.74	-12.91	0	6.2	4.67	62.48	3.6	0.73
1998	2	2	4.21	1	22.56	-1.3	0	6.1	4.66	59.24	3.8	0.66
1998	2	2.5	2.59	1	25.85	-2.07	0	5.9	4.64	56.41	4.1	0.65
1998	2	3	0.09	1	7.75	-20.23	0	5.8	4.62	57.04	4	0.42
1998	2	3.5	0.16	1	1.44	-7.17	0	5.8	4.6	58.7	3.8	0.4
1998	2	4	-9999	2	4.05	-8.43	0	5.4	4.59	60.33	3.6	0.64
1998	2	4.5	-9999	2	-9.83	1.65	0	5.2	4.56	63.11	3.3	0.65
1998	2	5	-9999	2	-28.93	-3.9	0	5	4.54	66.11	3	0.71
1998	2	5.5	-9999	2	4.78	-1.36	0	4.3	4.52	70.29	2.5	0.58
1998	2	6	-9999	2	-2.13	-11.74	0	3.9	4.47	72.85	2.2	0.8
1998	2	6.5	-9999	2	0.58	-6.77	0	3.5	4.4	73.85	2.1	0.75
1998	2	7	-9999	2	-6.87	6.88	0	3.3	4.33	74.35	2	0.68
1998	2	7.5	-9999	2	-5	4.5	0	4.1	4.27	73.3	2.2	0.74
1998	2	8	-9999	2	-0.03	-7.98	0	4.2	4.25	73.75	2.2	0.71
1998	2	8.5	-9999	2	-4.28	-10.96	4.31	3.4	4.23	75.24	1.9	0.74
1998	2	9	-9999	2	-2.45	29.77	9.32	2.4	4.19	78.14	1.6	1.1
1998	2	9.5	-9999	2	-9999	26.53	39.34	3.2	4.11	78.78	1.6	1.02
1998	2	10	-9999	2	-9999	33.74	41.74	4.7	4.08	73.03	2.3	1.02
1998	2	10.5	-9999	2	-9999	48.02	66.53	4.6	4.1	72.23	2.4	1.28
1998	2	11	-9999	2	-9999	60.19	123.31	4.6	4.12	71.94	2.4	1.2
1998	2	11.5	-9999	2	-9999	76.24	220.82	4.7	4.14	72.74	2.3	1.19
1998	2	12	-9999	2	-9999	145.88	271.97	5.1	4.16	72.39	2.4	1.27
1998	2	12.5	-9999	2	-9999	181.04	280.31	5	4.19	72.33	2.4	1.26
1998	2	13	-9999	2	-9999	105.34	270.37	5.3	4.21	71.91	2.5	1.09
1998	2	13.5	-9999	2	-9999	119.27	251.03	5.7	4.24	70.39	2.7	1.04
1998	2	14	-9999	2	-9999	97.57	217.07	6	4.27	70.58	2.8	0.71
1998	2	14.5	-9999	2	-9999	57.44	80	5.4	4.31	72.58	2.5	0.55
1998	2	15	-9999	2	-9999	-3.87	55.09	5.2	4.34	73.07	2.4	0.52
1998	2	15.5	-9999	2	-9999	5.37	0	5.2	4.35	74.44	2.3	0.73
1998	2	16	-9999	2	-9999	-3.69	0	5.3	4.36	75.91	2.2	0.71
1998	2	16.5	-9999	2	-9999	-6.46	0	5.1	4.37	77.61	2	0.65
1998	2	17	-9999	2	-9999	-31.83	0	5.1	4.37	77.67	2	0.56
1998	2	17.5	-9999	2	-9999	-25.03	0	5	4.36	78.3	1.9	0.84
1998	2	18	-9999	2	-9999	22.04	0	5.2	4.36	77.69	2	0.98
1998	2	18.5	-9999	2	-9999	2.5	0	5.2	4.36	77.34	2	0.64
1998	2	19	-9999	2	-9999	-34.07	0	5.2	4.36	76.53	2.1	0.51
1998	2	19.5	-9999	2	-9999	-18.43	0	5.8	4.36	71.19	2.7	0.57
1998	2	20	-9999	2	-9999	-9999	0	6.2	4.37	69.12	2.9	0.65
1998	2	20.5	-9999	2	-9999	-9999	0	6.1	4.39	71.02	2.7	0.66
1998	2	21	-9999	2	-9999	-9999	0	6.2	4.42	73.08	2.6	0.66
1998	2	21.5	-9999	2	-9999	-9999	0	7.2	4.46	68.36	3.2	0.66
1998	2	22	-9999	2	-9999	-9999	0	7.5	4.51	67.14	3.4	0.66
1998	2	22.5	-9999	2	-9999	-9999	0	8.1	4.56	63.77	3.9	0.62
1998	2	23	-9999	2	-9999	-9999	0	8.6	4.63	61.78	4.3	0.65
1998	2	23.5	-9999	2	-9999	-9999	0	8.8	4.7	60.95	4.4	0.68
1998	3	0	-9999	2	-9999	-9999	0	8.3	4.77	63.11	4.1	0.6
1998	3	0.5	-9999	2	-9999	-9999	0	7.6	4.83	65.36	3.6	0.64
1998	3	1	-9999	2	-9999	-9999	0	7.1	4.84	64.49	3.6	0.6
1998	3	1.5	-9999	2	-9999	-9999	0	6.7	4.83	63.78	3.6	0.61
1998	3	2	-9999	2	-9999	-9999	0	6.8	4.81	62.12	3.8	0.58
1998	3	2.5	-9999	2	-9999	-9999	0	6.8	4.79	62.69	3.7	0.6
1998	3	3	-9999	2	-9999	-9999	0	6.6	4.77	64.71	3.4	0.55
1998	3	3.5	-9999	2	-9999	-9999	0	6.6	4.76	64.85	3.4	0.58
1998	3	4	-9999	2	-9999	-9999	0	6.7	4.75	64.33	3.5	0.55
1998	3	4.5	-9999	2	-9999	-9999	0	6.6	4.75	65.78	3.3	0.59
